"X0"	"X0.1"	"X1"	"X2"	"X3"	"X4"	"X5"	"X6"	"X7"	"X8"	"X9"	"X10"	"X11"	"X12"	"X13"	"X14"	"X15"	"X16"	"X17"	"X18"	"X19"	"X20"	"X21"	"X22"	"X23"	"X24"	"X25"	"X26"	"X27"	"X28"	"X29"	"X30"	"X31"	"X32"	"X33"	"X34"	"X35"	"X36"	"X37"	"X38"	"X39"	"X40"	"X41"	"X42"	"X43"	"X44"	"X45"	"X46"
"IMAGE:146882"	-0.135724	-0.457212	-0.598004	-0.024552	-0.264509	0.510416	0.659758	1.334385	1.568481	1.460742	0.221806	-0.747908	-0.955544	-1.678629	-1.088825	-1.520645	-1.008613	-0.499673	-0.313736	0.136975	0.43267	0.921703	0.926831	0.985673	0.396435	0.310414	-0.421229	-0.577174	-0.771848	-0.736115	-0.738347	-0.147892	-0.076004	0.742088	1.02799	1.062619	0.676105	0.589033	0.296965	0.469535	0.21666	-0.011965	-0.30413	-0.660338	-0.513145	-0.556899	-0.464142	0.089888
"IMAGE:788256"	-0.148161	-0.120677	0.10888	0.403258	0.457878	0.56237	0.705371	0.815328	1.03948	1.020413	0.617674	0.111413	-0.406023	-0.707155	-0.884452	-0.733253	-0.461518	-0.364294	-0.056412	0.225392	0.244076	0.533515	0.516946	0.669233	0.272018	0.219362	-0.441394	-0.667385	-0.434803	-0.617135	-0.380105	-0.379872	0.045263	0.035857	0.368785	0.221756	0.300049	0.159403	0.112379	-0.013366	-0.133798	-0.251215	-0.306234	-0.533324	-0.597723	-0.333958	-0.421788	-0.223818
"IMAGE:435076"	-0.552148	-0.667828	-0.497222	-0.36863	-0.533481	0.293611	0.280466	0.485511	0.765747	0.982119	0.486884	0.107505	-0.079126	-0.32237	-0.610667	-0.593587	-1.190451	-0.513273	-0.429291	-0.185211	-0.232402	0.51365	0.430609	0.960637	0.847115	0.418321	0.124441	-0.294114	-0.258496	-0.534525	-0.453019	-0.287176	-0.220735	0.23222	0.367797	0.484012	0.548717	0.277644	0.511089	0.308943	0.414471	0.172131	-0.172034	0.042237	-0.089208	-0.284987	-0.199552	-0.477385
"IMAGE:950690"	0.135537	-0.099717	-0.058487	0.261801	-0.051501	0.3846	0.474758	0.643753	0.469271	0.67967	0.425384	0.47985	-0.190895	-0.4764	-0.816853	-0.649149	-0.525994	-0.270788	0.23235	0.225542	0.093202	0.556858	0.494379	0.489459	0.483806	0.178198	-0.271648	-0.721705	-0.458768	-0.518581	-0.306865	-0.368428	-0.019667	0.052389	0.113394	0.023981	0.249651	0.309697	0.234928	0.220066	-0.159146	0.014517	-0.344727	-0.217817	-0.607277	-0.292958	-0.461814	-0.039298
"IMAGE:712505"	0.365413	0.471885	0.17605	0.396538	0.231784	0.789592	0.838886	1.104066	1.424586	1.140441	-0.286489	-1.240734	-1.772645	-1.923161	-1.675227	-0.828716	-0.385846	-0.355231	0.299296	0.436301	0.664291	0.83599	0.845627	0.626379	0.396898	-0.414906	-0.91597	-1.093998	-0.591372	-0.688905	-0.514787	0.043113	0.370747	0.653515	0.65953	0.382691	0.604076	0.476282	0.319791	0.161148	0.145397	-0.309018	-0.565953	-0.473892	-0.586678	-0.386428	-0.292744	0.021726
"IMAGE:610362"	-0.254617	-0.295729	-0.359773	-0.48202	-0.385447	-0.345242	-0.152225	0.105361	0.291835	0.393525	0.283302	0.485899	0.051745	-0.299736	-0.507566	-0.90952	-0.640996	-0.446973	-0.224632	0.273723	-0.190402	0.519832	0.462369	1.214241	0.730552	0.844234	0.367685	-0.593671	-0.48001	-0.939006	-0.110092	-0.360456	0.027423	-0.210108	0.25327	0.236965	0.507166	0.56931	0.306257	0.289598	0.572136	0.239507	-0.18032	-0.070178	0.121057	-0.356302	-0.171152	-0.374019
"IMAGE:686172"	-0.228795	-0.467112	-0.449582	-0.375338	-0.146847	-0.044303	0.148474	0.466352	0.23835	0.640011	0.363938	0.378319	0.277496	0.18951	-0.236908	-0.203854	-0.527162	-0.583986	-0.561328	-0.248742	-0.037792	0.366932	0.285272	0.609696	0.57082	0.6638	0.218421	-0.075764	-0.351276	-0.326423	-0.655086	-0.34743	-0.191682	-0.082446	0.030694	0.279156	0.215538	0.315288	0.472144	0.279755	0.4501	0.134187	-0.174681	-0.147386	-0.183419	-0.145572	-0.529078	-0.202182
"IMAGE:131316"	-0.294809	-0.425793	-0.369154	0.041367	-0.392386	0.01521	0.209251	0.449912	0.520894	0.40913	0.00886	-0.060365	-0.443272	-0.862245	-1.162579	-0.861965	-0.669855	-0.294077	-0.206484	0.409411	0.360226	0.847873	0.61936	0.768461	0.32842	0.279301	-0.284708	-0.473283	-0.49951	-0.391188	-0.376835	-0.018636	0.231653	0.622144	0.545686	0.796982	0.437932	0.491023	0.406312	0.178642	0.347819	-0.04917	-0.335815	-0.40231	-0.345882	-0.282164	-0.208863	0.170637
"IMAGE:246808"	-0.237575	-0.112963	-0.349104	-0.242305	-0.241189	-0.025161	0.288468	0.770728	0.739723	1.018209	-0.002686	-0.234988	-0.683945	-0.805937	-0.968066	-0.73662	-0.543984	-0.264662	-0.035444	0.358128	0.043255	0.694316	0.299119	0.599544	0.256726	-0.072128	0.052474	-0.240154	-0.604445	-0.521916	-0.46597	0.033508	0.167015	0.563806	0.433421	0.310546	0.622931	0.43957	0.155092	0.187418	0.287677	-0.11931	-0.077565	-0.294764	-0.292197	-0.173104	-0.048975	-0.121575
"IMAGE:731095"	-0.287759	-0.200602	-0.072589	-0.21959	-0.032741	-0.153083	-0.092498	0.277892	0.4634	0.684538	0.340894	0.121423	-0.076268	-0.230756	-0.563407	-0.756535	-1.019915	-0.393241	-0.210753	-0.018219	0.184132	0.406375	0.340589	0.685327	0.613448	0.560571	0.142118	-0.276883	-0.443883	-0.572903	-0.430773	-0.155619	-0.040085	0.038665	0.182595	0.20736	0.332602	0.416103	0.445107	0.134245	0.464935	0.137606	-0.286025	0.029588	-0.314016	-0.346065	-0.011738	0.012878
