CloneID	Ref	GeneSymbol	CommunityID
IMAGE:127943	#N/A	NA	272
IMAGE:128515	115262	CSR1	70
IMAGE:128614	220889		70
IMAGE:128711	307638	ANLN	124
IMAGE:128947	111558	HMMR	124
IMAGE:1292197	312184		640
IMAGE:129478	#N/A	NA	70
IMAGE:129585	110993		70
IMAGE:129858	308847	ANLN	70
IMAGE:129865	98982	STK15	124
IMAGE:129883	227113	INSIG1	70
IMAGE:129961	308749	KNSL2	124
IMAGE:130057	120082	STC2	70
IMAGE:130204	246951		124
IMAGE:130824	101345	SKP2	124
IMAGE:131099	104083	FLJ13057	70
IMAGE:131316	119890	HSPC145	124
IMAGE:131563	103772		50
IMAGE:132140	105196		70
IMAGE:1322614	106639		414
IMAGE:1323002	103558	SLC12A1	2
IMAGE:1323011	110261		70
IMAGE:1323153	100392		70
IMAGE:1323339	107655		92
IMAGE:1323582	119825		92
IMAGE:1323785	116645	THY1	507
IMAGE:1324230	#N/A	NA	331
IMAGE:132524	100035		177
IMAGE:1325420	102577		57
IMAGE:133423	308217		74
IMAGE:133454	98705	KIAA1382	38
IMAGE:133456	307720	DKFZP564A122	124
IMAGE:133864	108922		70
IMAGE:133895	104515	FLJ20037	59
IMAGE:133930	119960		70
IMAGE:134163	106856	PRO1905	1
IMAGE:134202	307884		830
IMAGE:134482	104228	FLJ20333	124
IMAGE:134495	114944		70
IMAGE:134666	119304	DKFZP434I1735	70
IMAGE:134748	106441	GCSH	70
IMAGE:134829	#N/A	NA	70
IMAGE:134916	98894		697
IMAGE:134918	#N/A	NA	176
IMAGE:134948	105487	KIAA1481	70
IMAGE:134976	101693	LOC56930	70
IMAGE:135065	104302		4
IMAGE:135083	99576	GRP58	38
IMAGE:135640	240761	STX3A	70
IMAGE:135791	106504	FN14	70
IMAGE:135900	103658	KIAA1376	70
IMAGE:136052	310233		70
IMAGE:136070	104358	DKFZP586A0522	70
IMAGE:136781	308252		14
IMAGE:136814	104931		70
IMAGE:136890	309540		617
IMAGE:137211	118249	CHD2	70
IMAGE:137221	#N/A	NA	413
IMAGE:137242	307899	FLJ20539	70
IMAGE:1373653	104618		70
IMAGE:137387	98722	TFAP2A	70
IMAGE:1374098	118202		475
IMAGE:1374234	102730		1
IMAGE:1374236	115604		70
IMAGE:1374241	100594		736
IMAGE:1374360	107856		231
IMAGE:1374477	100016		193
IMAGE:1374564	105159		622
IMAGE:1374704	111944		850
IMAGE:1374720	102548		135
IMAGE:1374830	101516		61
IMAGE:1374906	116057		1
IMAGE:1374943	101048		552
IMAGE:137853	#N/A	NA	577
IMAGE:137984	114686		70
IMAGE:138007	307492		587
IMAGE:138141	119469	LOC51014	38
IMAGE:1384319	98906	FLJ12190	92
IMAGE:1384364	106168		655
IMAGE:138444	104356	CCND1	70
IMAGE:1384788	113434		539
IMAGE:1384791	98425		733
IMAGE:1384797	#N/A	NA	159
IMAGE:1385417	101277		124
IMAGE:138775	117645	DXS6984E	70
IMAGE:138865	108926		70
IMAGE:138904	#N/A	NA	70
IMAGE:139296	308628		1
IMAGE:139586	99436	GTF3C3	119
IMAGE:139635	308300	AMY2A	124
IMAGE:139837	110204	LOC51159	2
IMAGE:140052	114434		69
IMAGE:141192	101197	LCCP	70
IMAGE:141545	224200		71
IMAGE:1415613	100154		746
IMAGE:1415672	114683		585
IMAGE:1415918	104482		602
IMAGE:1416070	221724	CBX5	1
IMAGE:1416099	221439		751
IMAGE:1416129	109145	CRYPTIC	70
IMAGE:1416348	105971		606
IMAGE:1416391	113236		258
IMAGE:141671	309381		70
IMAGE:1416711	112784		1
IMAGE:1416739	222883		139
IMAGE:1417478	314605		270
IMAGE:141767	223639		70
IMAGE:1417732	317291		70
IMAGE:1417849	222612		323
IMAGE:1417862	224768		135
IMAGE:1417885	110078		20
IMAGE:141806	163434	TNFAIP3	70
IMAGE:141845	109316	CRIM1	70
IMAGE:141854	110896		125
IMAGE:1420245	105564		70
IMAGE:1420826	117965		282
IMAGE:1420842	307507	MALT1	1
IMAGE:142122	106865	AFAP	70
IMAGE:1421749	110228		190
IMAGE:1422338	222910	RRM2	70
IMAGE:142259	105529	FIP2	70
IMAGE:1422743	107523		1
IMAGE:142676	308239		74
IMAGE:142944	99541	FLJ20037	70
IMAGE:143169	114205	SFRS5	70
IMAGE:143426	313992	ARHB	70
IMAGE:1434897	309448	COL5A2	636
IMAGE:1434924	112181		135
IMAGE:1435137	102321	KIAA1554	70
IMAGE:1435541	113669		4
IMAGE:1435624	222670	CSPG2	127
IMAGE:143661	102822	NTN4	407
IMAGE:1438607	110594		832
IMAGE:1438630	117856		76
IMAGE:143962	100087		38
IMAGE:144045	222932		100
IMAGE:144065	119946		70
IMAGE:1441055	115744		4
IMAGE:1441430	#N/A	NA	610
IMAGE:1441749	113119		70
IMAGE:144834	100562	MAP7	70
IMAGE:144861	111633		160
IMAGE:144926	117367		70
IMAGE:145112	108510	ICAM1	70
IMAGE:145292	100767	COL4A1	70
IMAGE:1454534	105296		120
IMAGE:1455600	225109	KIAA1008	1
IMAGE:1455740	221147		144
IMAGE:1456024	224886	NUDT3	70
IMAGE:1456207	114051	FZR1	124
IMAGE:1456220	99047		674
IMAGE:1456342	316516		4
IMAGE:1456398	313913		59
IMAGE:1456405	106305	KYNU	70
IMAGE:1456508	118718		70
IMAGE:1456525	103706		132
IMAGE:1456752	115544		578
IMAGE:1456891	317044		236
IMAGE:1456899	112925		1
IMAGE:1457276	226507		70
IMAGE:1457356	101549	EVX1	139
IMAGE:1459742	225346	MAP-1	124
IMAGE:1459964	110770	TUBA3	124
IMAGE:1460141	221352	MDS001	70
IMAGE:1461158	222706	MSH4	199
IMAGE:1461313	224584	DKFZp762O076	70
IMAGE:1461629	225499		4
IMAGE:1466405	222465	FLJ20618	38
IMAGE:1467157	222578		814
IMAGE:1467161	#N/A	NA	263
IMAGE:1467207	225463	P125	38
IMAGE:1467293	227033	FOP	139
IMAGE:1467509	226356		44
IMAGE:1467511	#N/A	NA	236
IMAGE:1467817	221751		20
IMAGE:1467868	226054	AKAP2	70
IMAGE:1467988	224208		139
IMAGE:1468023	220900		44
IMAGE:1468029	223090		150
IMAGE:1468122	224682		753
IMAGE:1468224	#N/A	NA	145
IMAGE:1468246	225561		717
IMAGE:1468364	224266	ST3GALVI	525
IMAGE:1468415	225839		25
IMAGE:1468431	220960	LOC51210	70
IMAGE:1468466	224154		124
IMAGE:1468547	225584		38
IMAGE:1468616	223888		70
IMAGE:1468660	222477		139
IMAGE:1468669	222331		25
IMAGE:1468720	221172		52
IMAGE:1468755	220874		135
IMAGE:1468764	223022		13
IMAGE:146882	223871	UBCH10	124
IMAGE:1468888	224615		98
IMAGE:1468897	#N/A	NA	139
IMAGE:1468913	221752		74
IMAGE:1469378	#N/A	NA	25
IMAGE:1469384	223952		25
IMAGE:1469407	224937		155
IMAGE:1469870	221641	KIAA1108	70
IMAGE:1470023	319802	YARS	70
IMAGE:1470060	101201	TUBA3	124
IMAGE:1470105	225818		135
IMAGE:1470169	#N/A	NA	16
IMAGE:1470220	224086		183
IMAGE:147075	100337	MDM2	38
IMAGE:1470886	221077	KIAA0653	183
IMAGE:1471826	99874		288
IMAGE:1472641	#N/A	NA	70
IMAGE:1472797	226323	FLJ10718	183
IMAGE:1473118	#N/A	NA	74
IMAGE:1473257	224915		165
IMAGE:1473326	118094	PTCH	196
IMAGE:1473682	222175	AAAS	124
IMAGE:1474273	222724		70
IMAGE:1474900	224826	KRT15	70
IMAGE:1475463	221905	CLASPIN	124
IMAGE:1475636	#N/A	NA	57
IMAGE:1475842	224383	ROCK1	70
IMAGE:1475965	#N/A	NA	139
IMAGE:1476320	113797	NCF2	70
IMAGE:1476466	311945	HBA2	70
IMAGE:1476514	312030		139
IMAGE:1486013	307140	IARS	70
IMAGE:1486028	223522		70
IMAGE:1486118	223111	KRT6A	70
IMAGE:1486253	318371		656
IMAGE:1486533	312111	KRT16	70
IMAGE:148668	221010		20
IMAGE:1492114	100490		224
IMAGE:1492144	308542	BTN3A2	70
IMAGE:1492448	112800	ARHB	70
IMAGE:1492847	110184		70
IMAGE:149296	309612		802
IMAGE:1493061	#N/A	NA	838
IMAGE:1493205	225061	FLJ21016	1
IMAGE:1493473	103945		74
IMAGE:1493593	307086		4
IMAGE:149539	226894		70
IMAGE:149547	101939	GNB4	1
IMAGE:149745	109112		70
IMAGE:1500000	223681	H2BFB	70
IMAGE:150021	237757		135
IMAGE:1500248	115304		256
IMAGE:1500420	111668		20
IMAGE:1500448	225381		69
IMAGE:1500468	311696		70
IMAGE:1500631	101784	DDIT3	70
IMAGE:150361	104993	IGF1R	70
IMAGE:1503663	#N/A	NA	4
IMAGE:1503902	310902		2
IMAGE:1504010	317719		57
IMAGE:1504036	308918		778
IMAGE:1504127	310215		2
IMAGE:1504355	220525		798
IMAGE:1504645	#N/A	NA	12
IMAGE:1504679	307636		306
IMAGE:1505382	#N/A	NA	73
IMAGE:1505525	#N/A	NA	524
IMAGE:1505636	315952		4
IMAGE:1505771	312364		120
IMAGE:1505805	315052		641
IMAGE:1505809	317401		5
IMAGE:1506309	308107		1
IMAGE:1506354	316933		673
IMAGE:1506392	319614		70
IMAGE:1506518	317016		67
IMAGE:1506570	313345	FBXL3A	274
IMAGE:1506646	318716		70
IMAGE:1506702	318494		2
IMAGE:1506734	317507		70
IMAGE:1506966	318834		375
IMAGE:1507007	316238		380
IMAGE:1507043	315253		61
IMAGE:1507212	316732		856
IMAGE:1507246	313146		5
IMAGE:1508356	311408		70
IMAGE:1508546	315506		61
IMAGE:1508575	318191		333
IMAGE:1509188	#N/A	NA	75
IMAGE:1509461	316060		540
IMAGE:1509553	312384		405
IMAGE:151055	109260	HELO1	70
IMAGE:151240	119607	ARGBP2	70
IMAGE:151430	113829	CD44	70
IMAGE:151477	98814		70
IMAGE:151501	108425	TEK	47
IMAGE:151595	111797		1
IMAGE:1516701	319255		833
IMAGE:1516882	312900		70
IMAGE:1517943	317068		70
IMAGE:1518116	318847		20
IMAGE:1518475	#N/A	NA	73
IMAGE:1518919	312701		279
IMAGE:1519147	318159		193
IMAGE:1519408	314488		20
IMAGE:1519513	319854	C11ORF23	38
IMAGE:1519564	316062	DKFZP434F122	195
IMAGE:151984	307904	KIAA0635	70
IMAGE:1519951	317244		70
IMAGE:152025	310941	QP-C	124
IMAGE:1520782	101830		70
IMAGE:1521641	312439		293
IMAGE:1521661	115412		70
IMAGE:1521678	315126		57
IMAGE:1521686	100394		57
IMAGE:1521707	317812		665
IMAGE:1522159	111299		61
IMAGE:1522182	101893		61
IMAGE:1522229	314212		30
IMAGE:1522674	113719	MGEA5	70
IMAGE:1522718	105973		2
IMAGE:1522734	317034		118
IMAGE:1522737	319717		658
IMAGE:1522773	316134		106
IMAGE:1523372	319022		221
IMAGE:1523411	312668		326
IMAGE:1523992	318470		826
IMAGE:1524430	317644		73
IMAGE:1525305	225895	KIAA0692	70
IMAGE:1525658	320050		625
IMAGE:1525819	319153		146
IMAGE:1525915	312797		648
IMAGE:152617	223598		38
IMAGE:1526535	319219		652
IMAGE:1526536	312868		148
IMAGE:1526538	318240		20
IMAGE:1527047	225613		139
IMAGE:1533761	#N/A	NA	70
IMAGE:1534049	107477	GCHFR	70
IMAGE:153411	108063	HLA-DRA	124
IMAGE:1534492	104305		74
IMAGE:1534973	115681		741
IMAGE:1535004	120331		183
IMAGE:1535070	309483	GLS	70
IMAGE:1535106	221353	HAO2	207
IMAGE:1535286	306972	ALDH5	70
IMAGE:1535555	101928		1
IMAGE:1536174	311768		307
IMAGE:1536451	307205		124
IMAGE:1539576	313542		242
IMAGE:1539905	313612		183
IMAGE:1540010	318983		170
IMAGE:1540227	310388	C20ORF1	124
IMAGE:1540236	310652	DKFZp762E1312	124
IMAGE:1540418	307028	NUCKS	70
IMAGE:1540533	307629		240
IMAGE:1541422	312425		243
IMAGE:1541489	317423		749
IMAGE:1541659	306988	CDC25A	124
IMAGE:1541665	308277		63
IMAGE:1541676	309569		754
IMAGE:1541821	#N/A	NA	709
IMAGE:1541824	308990		429
IMAGE:1541983	307883		49
IMAGE:1541989	309161		846
IMAGE:1542006	308986		70
IMAGE:1542050	316577		4
IMAGE:1542069	310275		110
IMAGE:1542090	307347		467
IMAGE:1542156	319341		173
IMAGE:1542201	308294		297
IMAGE:1542210	315677		4
IMAGE:1542252	#N/A	NA	569
IMAGE:1542263	312088		94
IMAGE:1542347	309516		122
IMAGE:1542400	318873		12
IMAGE:1542768	#N/A	NA	70
IMAGE:1542786	307716	FLJ22527	20
IMAGE:1542819	315423		219
IMAGE:1542915	#N/A	NA	437
IMAGE:1543190	308828		139
IMAGE:1543373	#N/A	NA	119
IMAGE:1543516	320015		97
IMAGE:1543522	313659		38
IMAGE:1543718	316839		135
IMAGE:1543803	314240		485
IMAGE:1543866	311979	FLJ11155	70
IMAGE:1543899	313767		139
